1stFlrSF,GarageArea,GrLivArea,TotalBsmtSF,BedroomAbvGr,BsmtExposure,BsmtFinType1,GarageFinish,GarageYrBlt,KitchenQual,OverallCond,OverallQual,YearBuilt,YearRemodAdd,SalePrice
-0.7934337933349002,0.35100032086652694,0.3703334392167798,-0.4593025408311876,3,3,2,2,11,2,5,7,13,6,208500
0.25714042978945445,-0.060731012615303295,-0.48251191458524123,0.4664649160883461,3,1,0,2,8,3,8,6,10,3,181500
-0.6278260340246571,0.6317262300586839,0.5150125617367655,-0.3133687545187488,3,2,2,2,11,2,5,7,13,6,223500
-0.5217335632165325,0.7908042452675729,0.3836591478699364,-0.6873240819443732,3,3,0,3,10,2,5,7,4,2,140000
-0.045611255199583686,1.6984846849888804,1.299325699608267,0.1996797129859189,4,0,2,2,10,2,5,8,12,5,250000
-0.9486910676882531,0.03284429044874903,-0.2921446481115758,-0.596115465499099,1,3,2,3,10,3,5,5,12,5,143000
1.3749928051335953,0.7627316543483571,0.33987467658099335,1.4332762504082532,3,0,2,2,11,2,5,8,13,6,307000
-0.14394086229004052,0.05155935106155949,1.0937290518167084,0.11303152736290836,3,2,0,3,8,3,6,7,10,3,200000
-0.3638886676239571,-0.023300891389682367,0.49216848975992566,-0.2404018613625294,2,3,6,3,4,3,5,7,6,0,129900
-0.22156949946671697,-1.2538161266819705,-0.8346913575615222,-0.151473460328387,2,3,2,2,4,3,6,5,6,0,118000
-0.3173114853179513,-0.41631716425870213,-0.9051272461567784,-0.03974290518292602,3,3,5,3,7,3,5,5,9,2,129500
0.0501307306516506,1.2306081696686189,1.5391884553650854,0.2680861753198746,4,3,6,0,11,0,5,9,13,6,345000
-0.6485270039384374,-0.5660376491611858,-1.1487973472430701,-0.3316104778078036,2,3,0,3,7,3,6,5,9,2,144000
0.8574685572890857,1.7171997456016908,-0.04085985636633749,0.9954748914709368,3,0,6,2,11,2,5,7,13,6,279500
0.23385183863645154,-0.5660376491611858,-0.4996449685678711,0.4459429773881594,3,3,1,2,6,3,5,6,8,1,157000
-0.7986090358133452,0.4820057451562002,-1.259210361797796,-0.5140277106983522,2,3,6,3,10,3,8,7,5,6,132000
-0.410465849929963,0.03284429044874903,-0.973659462087298,-0.12183065998367285,2,3,0,0,7,3,7,6,9,2,149000
0.34511955192302113,0.20127983596404322,-0.417787043984195,-2.411166932760057,2,4,4,3,7,3,5,4,9,2,90000
-0.1258275136154827,0.4820057451562002,-0.7642554689662661,0.12899303524083136,3,3,2,3,11,2,5,5,13,6,159000
0.45638726520959066,-0.8374060280469375,-0.3359291194005189,-0.06482527470537644,3,3,3,3,6,3,6,5,8,2,139000
-0.011972179089690562,1.7780236925933248,1.6381794339313913,0.22932251333063305,4,0,6,2,11,2,5,8,13,6,325300
-0.14135324105081798,-0.9029087401917743,-0.775677504954686,-0.9586697158690641,3,3,6,3,3,2,7,7,5,0,139400
1.6363425502950728,0.2854976087216903,0.5321456157193953,1.6407758528212522,3,3,6,2,11,2,5,8,13,6,230000
-0.2655590605335003,0.46329068454338973,-0.8670537928620453,-0.03974290518292602,3,3,2,3,8,3,7,5,10,3,129900
-0.2655590605335003,-0.9496963917238004,-0.8670537928620453,0.005861403039711112,3,2,5,3,7,2,8,5,9,6,154000
1.1317564086466758,1.9511380032618217,0.16092944609574783,1.1596504010724304,3,3,6,2,11,2,5,8,13,6,256300
-0.679578458809108,0.4820057451562002,-1.17164141921991,-0.3589730627413859,3,2,6,3,11,2,7,5,8,5,134800
1.4008690175258207,1.399043715183913,0.35891140322835985,1.4743201278086266,3,3,2,3,11,2,5,8,13,6,306000
1.1317564086466758,-0.7204368992168722,0.16092944609574783,0.9726727373596182,2,1,1,2,6,3,6,5,8,5,207500
-1.6628745297136764,-1.0900593463198789,-1.8950370318198386,-1.2254549189714914,1,3,6,3,2,1,6,4,5,0,68500
-1.3290713898539677,-1.0432716947878526,-0.37780991802472524,-0.9313071309354819,3,3,6,3,2,3,4,4,4,0,40000
0.16916130765588783,-0.9450176265705977,-0.5472367851862875,0.388937592109863,3,3,6,3,7,2,6,5,9,6,149350
0.1846870350912231,0.05155935106155949,-0.5358147491978675,0.4026188845766541,3,0,6,2,11,2,5,8,13,6,179900
1.3905185325689307,-0.12155495960693731,0.35129671256941325,0.7765742120022786,4,3,5,2,6,2,5,5,8,1,165500
1.0308391803169965,0.3884304420921479,0.08668621217101834,1.1482493240167713,2,3,2,0,11,0,5,9,13,6,277500
-0.07925033130947681,1.020063737774501,1.782858556451377,0.13583368147422692,4,0,6,3,11,2,5,8,13,6,309000
-0.169817074682266,0.9311671998636514,-0.7966179042667891,0.0902293732515898,3,3,6,3,10,3,5,5,12,5,145000
0.34770717316224364,0.11706206320639612,-0.41588337131945835,0.5462724554779611,3,3,5,0,6,3,6,5,8,4,153000
-0.2733219242511679,-1.0619867554006632,-0.8727648108562553,-0.0009792431936844568,3,3,2,3,6,2,7,5,8,6,109000
-0.02749790652502585,-2.2129629830885067,-0.6919159077062732,-2.411166932760057,3,4,4,1,12,1,5,4,8,1,82000
0.41757294662125244,-0.15430631567935563,-0.36448420937156867,0.06970743455140309,3,3,5,3,7,3,5,6,9,2,160000
0.42792343157814267,-0.7719033159021009,-0.35686951871262207,0.6671238722679494,2,1,1,3,6,3,6,5,8,1,170000
-0.7209803986366687,0.14513465412561183,-1.2021001818556964,-0.4957859874092973,2,0,0,2,9,2,7,5,11,4,144000
-0.5812488517186511,-0.7719033159021009,-1.0993018579599172,-0.2723248771183754,3,0,3,3,8,3,6,5,10,3,130250
-0.032673149003470944,-0.8093334371277219,-0.6957232530357464,0.2110807900415782,3,3,0,2,6,3,6,5,8,1,141000
1.5250748370085032,0.4820057451562002,0.45028769113571926,1.5837704675429558,2,3,2,2,11,0,5,9,13,6,319900
0.9195714670304268,0.9218096695572461,1.206045739036171,0.8586619668030254,1,3,2,2,11,2,5,7,13,6,239686
1.2766631980431384,1.6516970334568541,0.2675351153210005,1.3648697880742975,3,0,2,3,11,2,5,8,13,6,249700
-1.1039483420416059,-2.2129629830885067,-0.12081410828527696,-0.7329283901670104,2,3,6,1,12,3,5,4,4,6,113000
-0.5372592906518678,-0.4069596339522969,-1.066939422659394,-0.2335612151291338,3,3,1,3,7,3,7,5,9,2,127000
-0.9538663101666981,-0.39760210364589166,-0.08654800032001718,-0.6006758963213626,3,0,2,0,10,3,6,6,12,5,177000
-0.8969386429038021,0.2574250178024746,-0.6462277637525935,-0.5505111572764618,3,3,6,3,9,3,6,6,6,0,114500
-0.8969386429038021,0.20127983596404322,-1.331549923057789,-0.5505111572764618,2,1,3,3,7,3,5,5,9,2,110000
1.7579607485385325,1.969853063874632,0.6216182309620182,1.7889898545448228,0,1,2,0,9,2,5,9,11,4,385000
0.5107273112332642,0.46329068454338973,-0.2959519934410491,-1.5355642148854238,3,3,0,3,7,3,5,5,8,1,130000
0.6789226917827298,0.4820057451562002,-0.17221327023316663,0.8381400281028387,3,3,6,2,7,3,5,6,9,2,180500
-0.4648058959536365,0.03284429044874903,0.4255399464941428,-0.19935798396215595,3,3,2,0,10,2,5,8,12,5,172500
-0.78308330837801,0.4305393284709714,0.38937016586414636,-0.4501816791866602,3,3,6,2,11,2,5,7,13,6,196500
0.6815103130219524,0.7861254801143702,2.7213691801665476,0.8039367969358608,3,1,6,0,11,2,5,10,13,6,438780
-0.9900930075158139,-0.5660376491611858,-1.4000821389883085,-0.6325989120772086,2,0,0,3,8,3,7,5,10,3,124900
-0.011972179089690562,0.4820057451562002,-0.6804938717178532,0.22932251333063305,3,3,0,3,11,2,5,6,13,6,158000
-1.505029634121101,-0.8654786189661533,-0.769966486960476,-1.2026527648601728,3,3,6,3,4,1,7,5,4,5,101000
0.5366035236254897,0.05155935106155949,-0.2769152667936826,0.7127281804905866,2,2,2,2,11,2,5,8,13,6,202500
-0.6744032163306629,0.03284429044874903,0.3703334392167798,-1.0977628559481074,3,3,6,3,9,3,6,7,5,0,140000
-0.2733219242511679,0.8048405407271807,0.9871233825914557,-0.0009792431936844568,3,3,2,2,10,2,5,7,12,5,219500
-0.050786497678028786,1.7733449274401223,1.822835682410847,0.1951192821636552,4,0,6,3,11,2,5,8,13,6,317000
2.7024425008547626,0.4820057451562002,1.316458753590897,2.0284124727136676,3,1,2,2,7,3,5,7,9,4,180000
0.8186542387007475,0.39778797239855307,-0.0694149463373873,0.9019860596145307,3,0,2,2,11,2,5,7,13,6,226000
-1.0754845084101579,-1.1836346493839311,-1.462903336924618,-0.7078460206445599,2,3,6,3,5,3,6,4,7,0,80000
0.36582052183680147,0.9077733740976383,1.4687525667698291,0.562233963355884,3,3,1,0,6,3,4,7,8,1,225000
2.7438444406823232,0.20127983596404322,1.3469175162266833,2.65775192618606,3,1,0,0,8,3,6,7,10,3,244000
-0.8218976269663482,-0.5286075279355649,-1.2763434157804259,-0.484384910353638,2,3,0,3,9,3,6,4,11,6,129500
-0.7183927773974462,-0.21513026267098964,0.385562820534673,-0.5140277106983522,3,3,6,0,10,3,5,7,12,5,185000
-0.19828090831371403,0.0796319419807752,-0.8175583035788924,0.06514700372913938,3,3,0,3,9,3,7,5,8,6,144900
